election_year,election_regio_code,municipality_code,cbs_gm_code,election_municipality,cbs_municipality,province_code,province_code_pv,province,raw_name_match,normalized_name_match
2023,G0363,0363,GM0363,Amsterdam,Amsterdam,27,PV27,Noord-Holland,true,true
2023,G0373,0373,GM0373,Bergen (NH),Bergen (NH.),27,PV27,Noord-Holland,false,true
2023,G0375,0375,GM0375,Beverwijk,Beverwijk,27,PV27,Noord-Holland,true,true
2023,G0376,0376,GM0376,Blaricum,Blaricum,27,PV27,Noord-Holland,true,true
2023,G0377,0377,GM0377,Bloemendaal,Bloemendaal,27,PV27,Noord-Holland,true,true
2023,G0383,0383,GM0383,Castricum,Castricum,27,PV27,Noord-Holland,true,true
2023,G0384,0384,GM0384,Diemen,Diemen,27,PV27,Noord-Holland,true,true
2023,G0385,0385,GM0385,Edam-Volendam,Edam-Volendam,27,PV27,Noord-Holland,true,true
2023,G0388,0388,GM0388,Enkhuizen,Enkhuizen,27,PV27,Noord-Holland,true,true
2023,G0392,0392,GM0392,Haarlem,Haarlem,27,PV27,Noord-Holland,true,true
2023,G0394,0394,GM0394,Haarlemmermeer,Haarlemmermeer,27,PV27,Noord-Holland,true,true
2023,G0396,0396,GM0396,Heemskerk,Heemskerk,27,PV27,Noord-Holland,true,true
2023,G0397,0397,GM0397,Heemstede,Heemstede,27,PV27,Noord-Holland,true,true
2023,G0399,0399,GM0399,Heiloo,Heiloo,27,PV27,Noord-Holland,true,true
2023,G0400,0400,GM0400,Den Helder,Den Helder,27,PV27,Noord-Holland,true,true
2023,G0402,0402,GM0402,Hilversum,Hilversum,27,PV27,Noord-Holland,true,true
2023,G0405,0405,GM0405,Hoorn,Hoorn,27,PV27,Noord-Holland,true,true
2023,G0406,0406,GM0406,Huizen,Huizen,27,PV27,Noord-Holland,true,true
2023,G0415,0415,GM0415,Landsmeer,Landsmeer,27,PV27,Noord-Holland,true,true
2023,G0417,0417,GM0417,Laren,Laren,27,PV27,Noord-Holland,true,true
2023,G0420,0420,GM0420,Medemblik,Medemblik,27,PV27,Noord-Holland,true,true
2023,G0431,0431,GM0431,Oostzaan,Oostzaan,27,PV27,Noord-Holland,true,true
2023,G0432,0432,GM0432,Opmeer,Opmeer,27,PV27,Noord-Holland,true,true
